MJD,x,y,PA,sigma_maj,sigma_min
58601.106553, 16.9023, -1.4411, -50.5961, 0.0183, 0.0126
58615.013389, 17.6171, -3.4004, 33.1502, 0.0308, 0.0098
52747.4, 13.6897, -16.7221, -41.4124, 2.3469, 1.2636
53482.4, 8.8387, 8.1237, 58.0931, 1.9296, 0.8547
53101.4, 1.8713, -7.8437, -15.6211, 0.8982, 0.4009
52781.2, 4.4813, -11.0139, -22.8330, 1.2918, 0.5286
53013.6, 18.9840, -14.5977, -64.6719, 2.7462, 1.7307
